post_id,platform,author,text,sentiment,created_at
1,Twitter,user115,"Pésima experiencia con @equipoY, no lo recomiendo y gracias a @creatorAna",negative,2024-05-15 02:58:00
2,Twitter,user433,"Gracias @soporteX por el apoyo, quedé feliz con todo #promo https://t.co/demo",positive,2024-04-20 22:10:00
3,YouTube,user559,"Recomiendo a @devTips, contenido de calidad y muy útil #promo",positive,2024-04-17 23:49:00
4,TikTok,user433,"Recomiendo a @soporteX, contenido de calidad y muy útil y gracias a @cineFan #promo",positive,2024-04-17 20:36:00
5,Twitter,user271,"Malo el soporte de @fitLife, aún espero respuesta #promo",negative,2024-07-04 21:27:00
6,Instagram,user371,"No funciona lo que vende @brandY, una estafa y gracias a @reviewGuru",negative,2024-05-27 03:26:00
7,TikTok,user390,"Pésima experiencia con @ofertasHoy, no lo recomiendo #promo https://t.co/demo",negative,2024-04-09 23:19:00
8,Instagram,user74,"Pésima experiencia con @equipoY, no lo recomiendo #promo",negative,2024-05-17 23:29:00
9,Instagram,user571,"Pésima experiencia con @brandY, no lo recomiendo",negative,2024-05-05 02:15:00
10,TikTok,user217,"Buenísimo el video de @gamerMax, 10/10 https://t.co/demo",positive,2024-02-28 04:45:00
11,TikTok,user253,"Muy decepcionado con @cineFan, cero seriedad #promo",negative,2024-03-23 17:23:00
12,Twitter,user506,Viendo el directo de @creatorAna ahora,neutral,2024-05-08 02:10:00
13,YouTube,user395,"Muy decepcionado con @musicBeat, cero seriedad y gracias a @devTips https://t.co/demo",negative,2024-06-28 03:54:00
14,TikTok,user550,Nuevo post de @reviewGuru sobre tendencias y gracias a @creatorMia #promo,neutral,2024-04-17 08:59:00
15,Instagram,user513,"No funciona lo que vende @creatorAna, una estafa y gracias a @modaTrends https://t.co/demo",negative,2024-04-06 12:45:00
16,Twitter,user166,"Malo el soporte de @gamerMax, aún espero respuesta y gracias a @ofertasHoy",negative,2024-04-30 10:29:00
17,Twitter,user246,Increíble servicio de @devTips! Me encantó la experiencia y gracias a @gamerMax,positive,2024-04-05 18:10:00
18,Instagram,user129,"Pésima experiencia con @fitLife, no lo recomiendo y gracias a @cienciaHoy #promo https://t.co/demo",negative,2024-04-15 18:24:00
19,TikTok,user206,"Qué gran atención de @modaTrends, todo rápido y claro",positive,2024-04-25 08:27:00
20,Twitter,user231,"La promo de @devTips está genial, ahorré bastante y gracias a @equipoY #promo",positive,2024-03-21 02:00:00
21,Twitter,user235,Nuevo post de @reviewGuru sobre tendencias #promo,neutral,2024-05-29 18:24:00
22,YouTube,user136,"Buenísimo el video de @gamerMax, 10/10 y gracias a @creatorAna https://t.co/demo",positive,2024-03-17 14:01:00
23,Twitter,user479,"Malo el soporte de @cienciaHoy, aún espero respuesta y gracias a @reviewGuru https://t.co/demo",negative,2024-03-14 06:32:00
24,YouTube,user195,"Recomiendo a @creatorMia, contenido de calidad y muy útil https://t.co/demo",positive,2024-05-03 18:47:00
25,Twitter,user101,"Malo el soporte de @fitLife, aún espero respuesta",negative,2024-05-25 05:40:00
26,YouTube,user417,"Malo el soporte de @viajesPro, aún espero respuesta y gracias a @brandX https://t.co/demo",negative,2024-05-02 15:31:00
27,YouTube,user293,"Muy decepcionado con @saludPlus, cero seriedad #promo https://t.co/demo",negative,2024-04-21 07:25:00
28,Twitter,user60,"Malo el soporte de @brandY, aún espero respuesta",negative,2024-04-15 05:22:00
29,Twitter,user59,Comparando precios con @brandZ y gracias a @canalZ #promo,neutral,2024-04-09 19:26:00
30,Twitter,user253,"No funciona lo que vende @cineFan, una estafa",negative,2024-06-09 06:58:00
31,Instagram,user322,"Qué gran atención de @creatorLuis, todo rápido y claro #promo",positive,2024-05-08 02:28:00
32,YouTube,user10,"Malo el soporte de @devTips, aún espero respuesta y gracias a @soporteX https://t.co/demo",negative,2024-04-12 11:54:00
33,Instagram,user71,"Buenísimo el video de @creatorMia, 10/10",positive,2024-04-02 22:19:00
34,Twitter,user542,El envío de @fitLife fue lentísimo y llegó mal #promo,negative,2024-05-20 09:01:00
35,Twitter,user119,El envío de @creatorLuis fue lentísimo y llegó mal y gracias a @equipoY https://t.co/demo,negative,2024-06-07 21:38:00
36,YouTube,user271,Increíble servicio de @brandY! Me encantó la experiencia https://t.co/demo,positive,2024-06-03 11:23:00
37,TikTok,user134,"La promo de @musicBeat está genial, ahorré bastante https://t.co/demo",positive,2024-03-28 23:35:00
38,Twitter,user153,Comparando precios con @devTips y gracias a @creatorLuis #promo https://t.co/demo,neutral,2024-04-14 01:21:00
39,Instagram,user367,"Malo el soporte de @modaTrends, aún espero respuesta",negative,2024-04-09 21:11:00
40,Instagram,user159,Probando el filtro de @creatorMia y gracias a @ofertasHoy,neutral,2024-04-19 22:51:00
41,TikTok,user255,Increíble servicio de @hogarIdeas! Me encantó la experiencia #promo,positive,2024-05-29 06:48:00
42,TikTok,user472,"Gracias @equipoY por el apoyo, quedé feliz con todo y gracias a @soporteX #promo https://t.co/demo",positive,2024-06-23 02:22:00
43,TikTok,user286,"No funciona lo que vende @viajesPro, una estafa",negative,2024-05-10 03:56:00
44,Instagram,user268,"Malo el soporte de @canalZ, aún espero respuesta y gracias a @musicBeat #promo",negative,2024-04-03 14:53:00
45,Twitter,user524,"Gracias @devTips por el apoyo, quedé feliz con todo y gracias a @saludPlus #promo",positive,2024-04-24 18:22:00
46,TikTok,user202,"Recomiendo a @modaTrends, contenido de calidad y muy útil https://t.co/demo",positive,2024-07-03 10:15:00
47,TikTok,user520,"Ojo con @reviewGuru, publicidad engañosa https://t.co/demo",negative,2024-04-29 22:41:00
48,Instagram,user389,"Ojo con @noticiasTech, publicidad engañosa #promo https://t.co/demo",negative,2024-04-15 14:40:00
49,TikTok,user594,"No funciona lo que vende @musicBeat, una estafa y gracias a @foodLover",negative,2024-04-17 05:47:00
50,TikTok,user87,"Muy decepcionado con @cienciaHoy, cero seriedad y gracias a @equipoY https://t.co/demo",negative,2024-05-09 06:47:00
51,Twitter,user151,"La promo de @gamerMax está genial, ahorré bastante #promo",positive,2024-03-29 21:29:00
52,Instagram,user590,"Ojo con @viajesPro, publicidad engañosa #promo",negative,2024-04-08 03:38:00
53,Instagram,user436,"La promo de @hogarIdeas está genial, ahorré bastante",positive,2024-06-02 04:08:00
54,Instagram,user468,Comparando precios con @modaTrends,neutral,2024-05-08 15:06:00
55,YouTube,user517,Probando el filtro de @fitLife,neutral,2024-04-29 08:50:00
56,TikTok,user254,Probando el filtro de @foodLover #promo https://t.co/demo,neutral,2024-06-05 09:45:00
57,TikTok,user241,Increíble servicio de @fitLife! Me encantó la experiencia y gracias a @equipoY #promo https://t.co/demo,positive,2024-04-01 07:18:00
58,YouTube,user66,"Buenísimo el video de @fitLife, 10/10 #promo",positive,2024-04-14 19:56:00
59,YouTube,user21,El envío de @ofertasHoy fue lentísimo y llegó mal,negative,2024-05-07 14:18:00
60,Instagram,user552,"Ojo con @canalZ, publicidad engañosa #promo",negative,2024-05-06 13:48:00
61,YouTube,user170,Comparando precios con @fotografia y gracias a @viajesPro,neutral,2024-03-11 02:51:00
62,Instagram,user439,Nuevo post de @creatorMia sobre tendencias y gracias a @ofertasHoy #promo https://t.co/demo,neutral,2024-04-11 12:56:00
63,YouTube,user285,"Buenísimo el video de @brandZ, 10/10 y gracias a @devTips #promo",positive,2024-04-20 07:39:00
64,Twitter,user71,Viendo el directo de @equipoY ahora https://t.co/demo,neutral,2024-05-11 16:09:00
65,Instagram,user118,El envío de @canalZ fue lentísimo y llegó mal y gracias a @cienciaHoy,negative,2024-05-05 05:35:00
66,Twitter,user319,"Muy decepcionado con @noticiasTech, cero seriedad https://t.co/demo",negative,2024-04-23 06:46:00
67,Instagram,user78,"Qué gran atención de @noticiasTech, todo rápido y claro #promo",positive,2024-02-28 01:24:00
68,YouTube,user356,"Muy decepcionado con @brandZ, cero seriedad #promo",negative,2024-04-25 16:43:00
69,YouTube,user109,Probando el filtro de @cienciaHoy #promo,neutral,2024-04-28 22:12:00
70,YouTube,user277,"Muy decepcionado con @saludPlus, cero seriedad y gracias a @equipoY https://t.co/demo",negative,2024-08-22 15:23:00
71,YouTube,user250,"Ojo con @modaTrends, publicidad engañosa y gracias a @gamerMax https://t.co/demo",negative,2024-04-18 07:14:00
72,TikTok,user364,"Qué gran atención de @fotografia, todo rápido y claro",positive,2024-05-07 06:31:00
73,Instagram,user88,"Muy decepcionado con @gamerMax, cero seriedad",negative,2024-06-13 16:45:00
74,Twitter,user459,"Buenísimo el video de @equipoY, 10/10 #promo",positive,2024-05-26 16:09:00
75,TikTok,user567,"La promo de @saludPlus está genial, ahorré bastante y gracias a @hogarIdeas #promo https://t.co/demo",positive,2024-06-25 07:52:00
76,Instagram,user124,"La promo de @saludPlus está genial, ahorré bastante https://t.co/demo",positive,2024-03-12 16:31:00
77,TikTok,user284,Actualización de @soporteX disponible y gracias a @creatorMia #promo,neutral,2024-03-23 04:19:00
78,Twitter,user281,Actualización de @fitLife disponible #promo,neutral,2024-04-06 16:45:00
79,Twitter,user106,"Ojo con @gamerMax, publicidad engañosa #promo https://t.co/demo",negative,2024-03-08 16:18:00
80,Twitter,user117,"La promo de @brandZ está genial, ahorré bastante #promo https://t.co/demo",positive,2024-04-28 19:12:00
81,Twitter,user312,Comparando precios con @creatorAna,neutral,2024-03-25 07:42:00
82,YouTube,user536,El envío de @musicBeat fue lentísimo y llegó mal https://t.co/demo,negative,2024-07-02 21:11:00
83,Twitter,user62,Leyendo comentarios de @soporteX y gracias a @hogarIdeas #promo https://t.co/demo,neutral,2024-03-30 18:50:00
84,Instagram,user77,"Qué gran atención de @musicBeat, todo rápido y claro #promo https://t.co/demo",positive,2024-04-14 09:39:00
85,Twitter,user465,"No funciona lo que vende @canalZ, una estafa https://t.co/demo",negative,2024-05-29 03:55:00
86,Instagram,user558,"Pésima experiencia con @canalZ, no lo recomiendo y gracias a @creatorMia",negative,2024-03-16 19:25:00
87,YouTube,user296,"Recomiendo a @hogarIdeas, contenido de calidad y muy útil",positive,2024-03-06 16:51:00
88,Twitter,user449,"No funciona lo que vende @cineFan, una estafa y gracias a @canalZ #promo https://t.co/demo",negative,2024-05-03 23:00:00
89,Twitter,user590,Actualización de @modaTrends disponible https://t.co/demo,neutral,2024-05-05 17:42:00
90,TikTok,user453,"Buenísimo el video de @devTips, 10/10 #promo https://t.co/demo",positive,2024-05-27 11:52:00
91,TikTok,user419,"Gracias @creatorAna por el apoyo, quedé feliz con todo y gracias a @saludPlus #promo",positive,2024-05-16 13:40:00
92,Twitter,user564,El envío de @reviewGuru fue lentísimo y llegó mal y gracias a @cineFan,negative,2024-05-07 00:02:00
93,YouTube,user556,"La promo de @soporteX está genial, ahorré bastante",positive,2024-04-02 01:45:00
94,TikTok,user209,"Ojo con @noticiasTech, publicidad engañosa #promo https://t.co/demo",negative,2024-05-04 21:30:00
95,Instagram,user246,"La promo de @brandX está genial, ahorré bastante #promo",positive,2024-05-07 03:52:00
96,Twitter,user473,"Ojo con @creatorLuis, publicidad engañosa #promo",negative,2024-04-01 14:10:00
97,YouTube,user495,"Gracias @fitLife por el apoyo, quedé feliz con todo",positive,2024-07-19 04:39:00
98,TikTok,user72,Actualización de @cineFan disponible,neutral,2024-05-14 09:39:00
99,YouTube,user306,Comparando precios con @musicBeat #promo,neutral,2024-03-24 12:52:00
100,TikTok,user467,Viendo el directo de @hogarIdeas ahora #promo,neutral,2024-05-27 01:29:00
101,YouTube,user326,"Ojo con @viajesPro, publicidad engañosa",negative,2024-06-04 05:11:00
102,Twitter,user508,"Recomiendo a @devTips, contenido de calidad y muy útil",positive,2024-05-12 17:57:00
103,Twitter,user468,"No funciona lo que vende @cineFan, una estafa #promo",negative,2024-04-17 09:02:00
104,YouTube,user347,"No funciona lo que vende @reviewGuru, una estafa #promo https://t.co/demo",negative,2024-03-31 16:39:00
105,Twitter,user555,"No funciona lo que vende @equipoY, una estafa #promo https://t.co/demo",negative,2024-04-23 03:05:00
106,Twitter,user445,Nuevo post de @hogarIdeas sobre tendencias,neutral,2024-05-09 01:34:00
107,Twitter,user333,"Buenísimo el video de @ofertasHoy, 10/10 y gracias a @fitLife #promo",positive,2024-04-26 06:08:00
108,Instagram,user175,"La promo de @viajesPro está genial, ahorré bastante #promo",positive,2024-06-28 07:55:00
109,TikTok,user473,"Malo el soporte de @modaTrends, aún espero respuesta #promo https://t.co/demo",negative,2024-05-20 18:39:00
110,Twitter,user162,"La promo de @ofertasHoy está genial, ahorré bastante y gracias a @musicBeat",positive,2024-03-27 10:18:00
111,YouTube,user204,Viendo el directo de @creatorAna ahora #promo https://t.co/demo,neutral,2024-03-21 23:52:00
112,Twitter,user303,Probando el filtro de @modaTrends y gracias a @devTips,neutral,2024-05-14 01:40:00
113,TikTok,user509,Comparando precios con @equipoY #promo https://t.co/demo,neutral,2024-04-17 08:33:00
114,Twitter,user141,Nuevo post de @cienciaHoy sobre tendencias y gracias a @musicBeat #promo https://t.co/demo,neutral,2024-05-24 04:29:00
115,TikTok,user93,"Gracias @cineFan por el apoyo, quedé feliz con todo y gracias a @devTips https://t.co/demo",positive,2024-05-14 17:07:00
116,Instagram,user280,"Recomiendo a @gamerMax, contenido de calidad y muy útil #promo https://t.co/demo",positive,2024-04-23 02:34:00
117,Instagram,user145,Leyendo comentarios de @saludPlus,neutral,2024-03-28 12:29:00
118,YouTube,user93,Increíble servicio de @fitLife! Me encantó la experiencia,positive,2024-03-09 19:57:00
119,TikTok,user391,"Buenísimo el video de @equipoY, 10/10 y gracias a @devTips #promo",positive,2024-05-04 22:06:00
120,YouTube,user65,Leyendo comentarios de @noticiasTech #promo,neutral,2024-03-16 10:23:00
121,Twitter,user505,"Gracias @fitLife por el apoyo, quedé feliz con todo #promo",positive,2024-03-27 23:46:00
122,YouTube,user554,"Pésima experiencia con @saludPlus, no lo recomiendo",negative,2024-05-01 21:00:00
123,TikTok,user418,"Gracias @ofertasHoy por el apoyo, quedé feliz con todo",positive,2024-04-28 03:23:00
124,TikTok,user377,"Gracias @canalZ por el apoyo, quedé feliz con todo",positive,2024-03-19 03:07:00
125,Twitter,user218,"Gracias @reviewGuru por el apoyo, quedé feliz con todo https://t.co/demo",positive,2024-06-10 18:55:00
126,Instagram,user213,Actualización de @equipoY disponible,neutral,2024-06-08 09:27:00
127,Instagram,user149,"Malo el soporte de @creatorMia, aún espero respuesta #promo https://t.co/demo",negative,2024-05-16 08:07:00
128,Twitter,user332,"Gracias @brandY por el apoyo, quedé feliz con todo",positive,2024-05-16 16:15:00
129,TikTok,user460,"Ojo con @creatorAna, publicidad engañosa https://t.co/demo",negative,2024-05-16 22:29:00
130,TikTok,user534,"Malo el soporte de @brandX, aún espero respuesta",negative,2024-11-23 03:41:00
131,YouTube,user503,"Recomiendo a @brandZ, contenido de calidad y muy útil #promo https://t.co/demo",positive,2024-06-04 21:36:00
